"file","slug","anchor","url","linkedSlug","status"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Apa Itu AI?","/blog/apa-itu-ai/","apa-itu-ai","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","ChatGPT untuk Pemula","/blog/chatgpt-untuk-pemula/","chatgpt-untuk-pemula","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Gemini AI untuk Pemula","/blog/gemini-ai-untuk-pemula/","gemini-ai-untuk-pemula","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","AI Tools Terbaik untuk Produktivitas","/blog/ai-tools-terbaik-untuk-produktivitas/","ai-tools-terbaik-untuk-produktivitas","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","AI Tools untuk Desain","/blog/ai-tools-untuk-desain/","ai-tools-untuk-desain","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Pusat AI untuk Bisnis","/blog/pusat-ai-untuk-bisnis/","pusat-ai-untuk-bisnis","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Pusat AI untuk Pendidikan","/blog/pusat-ai-untuk-pendidikan/","pusat-ai-untuk-pendidikan","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Pusat AI untuk Content Creator","/blog/pusat-ai-untuk-content-creator/","pusat-ai-untuk-content-creator","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Pusat Karier AI","/blog/pusat-karier-ai/","pusat-karier-ai","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Apa Itu AI?","/blog/apa-itu-ai/","apa-itu-ai","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","ChatGPT untuk Pemula","/blog/chatgpt-untuk-pemula/","chatgpt-untuk-pemula","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Gemini AI untuk Pemula","/blog/gemini-ai-untuk-pemula/","gemini-ai-untuk-pemula","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Perbedaan ChatGPT dan Gemini","/blog/perbedaan-chatgpt-dan-gemini/","perbedaan-chatgpt-dan-gemini","OK"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","Teknik Prompt Engineering untuk Pemula","/blog/teknik-prompt-engineering-untuk-pemula/","teknik-prompt-engineering-untuk-pemula","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","AI untuk Guru","/blog/ai-untuk-guru/","ai-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","ChatGPT untuk Guru","/blog/chatgpt-untuk-guru/","chatgpt-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","Tools AI untuk Guru","/blog/tools-ai-untuk-guru/","tools-ai-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","Cara Membuat Prompt yang Baik","/blog/cara-membuat-prompt-yang-baik/","cara-membuat-prompt-yang-baik","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","Cara Menulis Prompt ChatGPT yang Efektif","/blog/cara-menulis-prompt-chatgpt-yang-efektif/","cara-menulis-prompt-chatgpt-yang-efektif","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","ChatGPT untuk Pendidikan","/blog/chatgpt-untuk-pendidikan/","chatgpt-untuk-pendidikan","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","AI Tools untuk Guru","/blog/ai-tools-untuk-guru/","ai-tools-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","50 Prompt ChatGPT untuk Guru","/blog/50-prompt-chatgpt-untuk-guru/","50-prompt-chatgpt-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","AI untuk Guru","/blog/ai-untuk-guru/","ai-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","ChatGPT untuk Guru","/blog/chatgpt-untuk-guru/","chatgpt-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","ChatGPT untuk Pendidikan","/blog/chatgpt-untuk-pendidikan/","chatgpt-untuk-pendidikan","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","Tools AI untuk Guru","/blog/tools-ai-untuk-guru/","tools-ai-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","50 Prompt ChatGPT untuk Guru","/blog/50-prompt-chatgpt-untuk-guru/","50-prompt-chatgpt-untuk-guru","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","20 Prompt AI untuk Siswa","/blog/20-prompt-ai-untuk-siswa/","20-prompt-ai-untuk-siswa","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","20 Prompt AI untuk Mahasiswa","/blog/20-prompt-ai-untuk-mahasiswa/","20-prompt-ai-untuk-mahasiswa","OK"
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","Pusat AI untuk Pendidikan","/blog/pusat-ai-untuk-pendidikan/","pusat-ai-untuk-pendidikan","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","AI untuk Mahasiswa","/blog/ai-untuk-mahasiswa/","ai-untuk-mahasiswa","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","ChatGPT untuk Mahasiswa","/blog/chatgpt-untuk-mahasiswa/","chatgpt-untuk-mahasiswa","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","Cara Menggunakan AI untuk Belajar","/blog/cara-menggunakan-ai-untuk-belajar/","cara-menggunakan-ai-untuk-belajar","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","Cara Membuat Prompt yang Baik","/blog/cara-membuat-prompt-yang-baik/","cara-membuat-prompt-yang-baik","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","Cara Menulis Prompt ChatGPT yang Efektif","/blog/cara-menulis-prompt-chatgpt-yang-efektif/","cara-menulis-prompt-chatgpt-yang-efektif","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","Cara Merangkum Jurnal dengan ChatGPT","/blog/cara-merangkum-jurnal-dengan-chatgpt/","cara-merangkum-jurnal-dengan-chatgpt","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","ChatGPT untuk Penelitian","/blog/chatgpt-untuk-penelitian/","chatgpt-untuk-penelitian","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","ChatGPT untuk Skripsi","/blog/chatgpt-untuk-skripsi/","chatgpt-untuk-skripsi","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","50 Prompt ChatGPT untuk Mahasiswa","/blog/50-prompt-chatgpt-untuk-mahasiswa/","50-prompt-chatgpt-untuk-mahasiswa","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","AI untuk Mahasiswa","/blog/ai-untuk-mahasiswa/","ai-untuk-mahasiswa","OK"
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","ChatGPT untuk Mahasiswa","/blog/chatgpt-untuk-mahasiswa/","chatgpt-untuk-mahasiswa","OK"
